"Action","Action"
"Add Testimonial","Add Testimonial"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Client Name","Client Name"
"Content","Content"
"Could not find testimonial to delete.","Could not find testimonial to delete."
"Delete Testimonial","Delete Testimonial"
"Delete","Delete"
"Disabled","Disabled"
"Display Order","Display Order"
"Edit Testimonial '%s'","Edit Testimonial '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Image","Image"
"No","No"
"None","None"
"Please select testimonial to delete.","Please select testimonial to delete."
"Please select testimonial.","Please select testimonial."
"Save And Continue Edit","Save And Continue Edit"
"Save Testimonial","Save Testimonial"
"Status","Status"
"Store views","Store views"
"Testimonial was successfully deleted.","Testimonial was successfully deleted."
"Testimonial was successfully saved","Testimonial was successfully saved"
"Testimonial","Testimonial"
"There was a problem saving the testimonial.","There was a problem saving the testimonial."
"There was an error deleteing testimonial.","There was an error deleteing testimonial."
"There was an error updating testimonial.","There was an error updating testimonial."
"This testimonial no longer exists.","This testimonial no longer exists."
"Title","Title"
"Total of %d testimonial were successfully deleted.","Total of %d testimonial were successfully deleted."
"Total of %d testimonial were successfully updated.","Total of %d testimonial were successfully updated."
"Unable to find testimonial to save.","Unable to find testimonial to save."
"XML","XML"
"Yes","Yes"